#id	reaction=Discrete(reaction)
REACT115602	reaction
REACT115618	reaction
REACT115620	reaction
REACT115622	reaction
REACT115629	reaction
REACT115635	reaction
REACT115637	reaction
REACT115643	reaction
REACT115656	reaction
REACT115658	reaction
REACT115659	reaction
REACT115661	reaction
REACT115663	reaction
REACT115667	reaction
REACT115670	reaction
REACT115673	reaction
REACT115674	reaction
REACT115675	reaction
REACT115679	reaction
REACT115685	reaction
REACT115686	reaction
REACT115688	reaction
REACT115691	reaction
REACT115695	reaction
REACT115699	reaction
REACT115702	reaction
REACT115703	reaction
REACT115707	reaction
REACT115712	reaction
REACT115718	reaction
REACT115719	reaction
REACT115722	reaction
REACT115724	reaction
REACT115730	reaction
REACT115734	reaction
REACT115737	reaction
REACT115742	reaction
REACT115749	reaction
REACT115752	reaction
REACT115753	reaction
REACT115754	reaction
REACT115758	reaction
REACT115761	reaction
REACT115763	reaction
REACT115771	reaction
REACT115782	reaction
REACT115785	reaction
REACT115790	reaction
REACT115792	reaction
REACT115793	reaction
REACT115797	reaction
REACT1157	reaction
REACT115812	reaction
REACT115816	reaction
REACT115819	reaction
REACT115820	reaction
REACT115822	reaction
REACT115823	reaction
REACT115826	reaction
REACT115834	reaction
REACT115839	reaction
REACT115843	reaction
REACT115850	reaction
REACT115857	reaction
REACT115861	reaction
REACT115862	reaction
REACT115873	reaction
REACT115874	reaction
REACT115880	reaction
REACT115881	reaction
REACT115882	reaction
REACT115885	reaction
REACT115888	reaction
REACT115889	reaction
REACT115890	reaction
REACT115891	reaction
REACT115892	reaction
REACT115894	reaction
REACT115895	reaction
REACT1158	reaction
REACT115904	reaction
REACT115905	reaction
REACT115906	reaction
REACT115908	reaction
REACT115910	reaction
REACT115911	reaction
REACT115913	reaction
REACT115918	reaction
REACT115921	reaction
REACT115930	reaction
REACT115934	reaction
REACT115935	reaction
REACT115938	reaction
REACT115942	reaction
REACT115947	reaction
REACT115952	reaction
REACT115963	reaction
REACT115965	reaction
REACT115968	reaction
REACT115969	reaction
REACT115974	reaction
REACT115975	reaction
REACT115982	reaction
REACT115984	reaction
REACT115989	reaction
REACT115991	reaction
REACT115996	reaction
REACT115999	reaction
REACT116000	reaction
REACT116015	reaction
REACT116023	reaction
REACT116025	reaction
REACT116033	reaction
REACT116036	reaction
REACT116037	reaction
REACT116038	reaction
REACT116041	reaction
REACT116044	reaction
REACT116045	reaction
REACT116054	reaction
REACT116056	reaction
REACT116057	reaction
REACT116060	reaction
REACT116064	reaction
REACT116065	reaction
REACT116066	reaction
REACT116068	reaction
REACT116069	reaction
REACT116072	reaction
REACT116077	reaction
REACT116081	reaction
REACT116083	reaction
REACT116084	reaction
REACT116087	reaction
REACT116098	reaction
REACT1160	reaction
REACT116102	reaction
REACT116108	reaction
REACT116110	reaction
REACT116115	reaction
REACT116116	reaction
REACT116118	reaction
REACT116121	reaction
REACT116124	reaction
REACT116127	reaction
REACT116128	reaction
REACT116132	reaction
REACT116135	reaction
REACT116140	reaction
REACT116148	reaction
REACT116151	reaction
REACT116156	reaction
REACT116157	reaction
REACT116162	reaction
REACT1162	reaction
REACT1165	reaction
REACT1166	reaction
REACT1167	reaction
REACT1170	reaction
REACT1171	reaction
REACT1172	reaction
REACT1173	reaction
REACT1177	reaction
REACT1179	reaction
REACT1180	reaction
REACT1184	reaction
REACT118559	reaction
REACT118561	reaction
