#entrez	phenotype	sources
E283796	hdf	zhou08:hdf
E283899	hrf	liu:hrf
E283987	hdf	konig08:hdf
E283991	both	zhou08:both
E284	hdf	yeung09:hdf
E284214	hdf	brass08:hdf
E284672	hdf	konig08:hdf
E285282	hdf	yeung09:hdf
E285311	hdf	brass08:hdf
E285464	hdf	brass08:hdf
E285521	hrf	liu:hrf
E285550	hdf	brass08:hdf
E285761	hdf	zhou08:hdf
E286016	hrf	liu:hrf
E286053	hrf	liu:hrf
E286102	hdf	zhou08:hdf
E286187	hdf	zhou08:hdf
E2879	hdf	yeung09:hdf
E2889	hdf	brass08:hdf
E28952	hdf	yeung09:hdf
E28965	hdf	zhou08:hdf
E28973	hdf	yeung09:hdf
E29053	hrf	liu:hrf
E29057	hrf	liu:hrf
E2907	both	zhou08:both
E29075	hdf	zhou08:hdf
E29079	hdf	brass08:hdf|zhou08:hdf
E29101	hdf	zhou08:hdf
E29115	hdf	konig08:hdf
E29124	hrf	liu:hrf
E2923	hdf	zhou08:hdf
E2954	hrf	liu:hrf
E2957	hdf	zhou08:hdf
E2965	hdf	zhou08:hdf
E2966	hdf	konig08:hdf
E29780	hdf	zhou08:hdf
E29803	hdf	konig08:hdf
E29882	hdf	zhou08:hdf|konig08:hdf
E29929	hdf	yeung09:hdf
E29959	hdf	zhou08:hdf
E29994	both	zhou08:both
E3020	hdf	brass08:hdf
E3061	hrf	liu:hrf
E3065	hdf	konig08:hdf
E308	both	zhou08:both
E30818	hdf	brass08:hdf
E30834	hdf	brass08:hdf
E30835	hdf	yeung09:hdf
E3111	hdf	zhou08:hdf
E3140	hdf	yeung09:hdf|brass08:hdf
E3146	hdf	konig08:hdf
E3157	hdf	konig08:hdf
E3166	both	zhou08:both
E3185	hdf	brass08:hdf
E3187	hdf	konig08:hdf
E3192	hdf	zhou08:hdf
E32	hdf	zhou08:hdf
E3213	hdf	yeung09:hdf
E3241	hrf	liu:hrf
E326624	hrf	liu:hrf
E3280	hdf	zhou08:hdf
E3292	hdf	yeung09:hdf
E331	hdf	konig08:hdf
E3337	hdf	brass08:hdf
E3355	hdf	yeung09:hdf
E337970	hrf	liu:hrf
E338069	hrf	liu:hrf
E3381	hdf	yeung09:hdf
E3386	hrf	liu:hrf
E338707	hdf	konig08:hdf
E339010	hdf	zhou08:hdf
E3417	hdf	brass08:hdf|konig08:hdf
E342538	hdf	konig08:hdf
E342667	hdf	brass08:hdf
E3431	hdf	brass08:hdf
E3508	hdf	brass08:hdf
E353144	hdf	konig08:hdf
E354	hrf	liu:hrf
E3552	hdf	zhou08:hdf
E3572	hdf	yeung09:hdf
E36	hdf	zhou08:hdf
E3603	hdf	yeung09:hdf
E3673	hrf	liu:hrf
E3695	hdf	yeung09:hdf
E3703	hdf	brass08:hdf
E3706	hdf	brass08:hdf
E3716	hdf	brass08:hdf|zhou08:hdf
E3726	hrf	liu:hrf
E3735	hdf	konig08:hdf
E374291	hdf	zhou08:hdf
E374383	hdf	brass08:hdf
E375	hdf	brass08:hdf
E375190	hdf	brass08:hdf
E3755	hrf	liu:hrf
E375791	hdf	brass08:hdf
E3762	both	zhou08:both
E3767	hdf	konig08:hdf
E3769	hdf	yeung09:hdf
E3780	hrf	liu:hrf
E3792	hdf	brass08:hdf
E3797	hdf	brass08:hdf
E3822	hdf	zhou08:hdf
E3837	hdf	konig08:hdf
E387104	hdf	yeung09:hdf
E3872	hdf	yeung09:hdf
E387264	hrf	liu:hrf
E388561	hrf	liu:hrf
E388762	hrf	liu:hrf
E388955	hrf	liu:hrf
E3898	hrf	liu:hrf
E390530	hdf	brass08:hdf
E390876	hdf	konig08:hdf
E3909	hrf	liu:hrf
E391352	hdf	konig08:hdf
E391429	hdf	konig08:hdf
E392447	hdf	konig08:hdf
E3937	hdf	brass08:hdf
E3985	hdf	konig08:hdf
E399491	hdf	yeung09:hdf
E3995	hrf	liu:hrf
E399967	hrf	liu:hrf
E400451	hdf	yeung09:hdf
E400569	hdf	zhou08:hdf
E400627	hdf	brass08:hdf
E400723	hdf	konig08:hdf
E400926	hdf	brass08:hdf
E401103	hdf	brass08:hdf
E4018	hrf	liu:hrf
E402117	hdf	brass08:hdf
E4023	hdf	brass08:hdf
E404672	hrf	liu:hrf
E404744	hdf	konig08:hdf
E406	hdf	yeung09:hdf
E4108	hdf	yeung09:hdf
E4121	hdf	konig08:hdf
E4126	hdf	konig08:hdf
E4134	hdf	brass08:hdf|konig08:hdf
E4144	hdf	konig08:hdf
E4161	hrf	liu:hrf
E4193	hrf	liu:hrf
E4218	hdf	zhou08:hdf
E4245	hdf	brass08:hdf
E4277	both	zhou08:both
E4293	hdf	zhou08:hdf
E4318	hdf	zhou08:hdf
E4322	both	zhou08:both
E4342	hdf	brass08:hdf
E4351	hrf	liu:hrf
E4355	hdf	konig08:hdf
E4360	hdf	yeung09:hdf
E4361	both	zhou08:both|konig08:hdf
E43849	hdf	zhou08:hdf
E440585	hdf	konig08:hdf
E441032	hdf	konig08:hdf
E441204	hdf	yeung09:hdf
E441381	hrf	liu:hrf
E4478	hdf	yeung09:hdf
E4501	hdf	konig08:hdf
E4502	hdf	konig08:hdf
E4542	hdf	konig08:hdf
E4552	hdf	yeung09:hdf
E4637	hdf	yeung09:hdf
E4700	hdf	zhou08:hdf
E4705	hdf	zhou08:hdf
E4713	hdf	brass08:hdf
E4726	hdf	zhou08:hdf
E4734	hdf	konig08:hdf
E4736	hdf	konig08:hdf
E475	hdf	zhou08:hdf
E4758	hdf	yeung09:hdf
E4771	hdf	brass08:hdf
E4790	hdf	yeung09:hdf|zhou08:hdf
E48	hrf	liu:hrf
E4817	hrf	liu:hrf
E4836	hdf	brass08:hdf
E4860	hrf	liu:hrf
E4893	hdf	yeung09:hdf
E4899	hdf	yeung09:hdf
E4904	hdf	konig08:hdf
E4928	hdf	yeung09:hdf|konig08:hdf
E4940	hdf	yeung09:hdf
E5002	hrf	liu:hrf
E5008	hrf	liu:hrf
E5026	both	zhou08:both
E5042	hdf	yeung09:hdf
E5046	hdf	zhou08:hdf
E5054	hrf	liu:hrf
E506	hdf	zhou08:hdf
E50618	hdf	yeung09:hdf
E50674	hdf	konig08:hdf
E50804	hdf	konig08:hdf
E50808	hrf	liu:hrf
E50846	hrf	liu:hrf
E51003	hdf	zhou08:hdf
E51005	hdf	konig08:hdf
E51010	hdf	brass08:hdf
E51019	hrf	liu:hrf
E5105	hdf	zhou08:hdf
E51111	hdf	brass08:hdf
E51135	hdf	yeung09:hdf
E51149	both	zhou08:both
E51150	hdf	konig08:hdf
E51192	both	zhou08:both
E51232	hdf	zhou08:hdf
E51241	hrf	liu:hrf
E5127	hdf	yeung09:hdf
E51305	hdf	brass08:hdf
E51312	hdf	yeung09:hdf
E51337	hrf	liu:hrf
E51347	hdf	yeung09:hdf
E51362	hdf	zhou08:hdf
E51366	hdf	zhou08:hdf
E51367	hrf	liu:hrf
E51412	hdf	yeung09:hdf
E51438	hdf	yeung09:hdf
E51475	hrf	liu:hrf
E5151	hdf	zhou08:hdf
E51510	hrf	liu:hrf
E51517	hrf	liu:hrf
E51520	hdf	brass08:hdf
E51538	hdf	konig08:hdf
E51550	hdf	yeung09:hdf
E51562	hdf	yeung09:hdf
E51586	hdf	konig08:hdf
E51593	hdf	konig08:hdf
E51605	hdf	zhou08:hdf
E51617	hdf	yeung09:hdf
E51691	hdf	yeung09:hdf
E51807	hdf	zhou08:hdf
E521	hdf	yeung09:hdf
E5211	hdf	konig08:hdf
E5213	hdf	konig08:hdf
E5236	hdf	konig08:hdf
E5252	both	zhou08:both
E5253	hdf	konig08:hdf
E5269	hdf	zhou08:hdf
E527	hdf	konig08:hdf
E5283	hdf	brass08:hdf
E5294	hdf	yeung09:hdf
E5297	hdf	zhou08:hdf
E5310	hdf	yeung09:hdf
E5313	both	zhou08:both
E533	hdf	yeung09:hdf
E53335	hdf	konig08:hdf
E53347	hdf	konig08:hdf
E53354	hdf	brass08:hdf
E5347	hdf	konig08:hdf
E535	hdf	brass08:hdf
E5352	hdf	konig08:hdf
E5372	hdf	konig08:hdf
E5379	hdf	zhou08:hdf
E5394	hdf	konig08:hdf
E53947	hdf	brass08:hdf
E54205	hdf	zhou08:hdf
E5423	hrf	liu:hrf
E5430	hdf	konig08:hdf
E5432	hdf	konig08:hdf
E54332	hrf	liu:hrf
E5437	hdf	zhou08:hdf
E5438	hdf	konig08:hdf
E5439	hdf	konig08:hdf
E5440	hdf	zhou08:hdf
E5441	hdf	zhou08:hdf
E54413	hdf	zhou08:hdf
E54437	hdf	zhou08:hdf
E54440	hdf	yeung09:hdf
E54476	hdf	konig08:hdf
E5449	hdf	brass08:hdf
E54623	hrf	liu:hrf
E5463	hdf	zhou08:hdf
E54751	hdf	konig08:hdf
E54765	hdf	konig08:hdf
E54776	hdf	konig08:hdf
E5479	hdf	brass08:hdf
E54815	hdf	konig08:hdf
E54843	hdf	yeung09:hdf
E54858	hdf	yeung09:hdf
E54866	hdf	konig08:hdf
E54872	hdf	yeung09:hdf
E54957	hrf	liu:hrf
E54958	hdf	yeung09:hdf
E54972	hdf	konig08:hdf
E55049	hrf	liu:hrf
E55079	hdf	zhou08:hdf
E55082	hdf	brass08:hdf
E5511	hdf	yeung09:hdf
E55127	hdf	brass08:hdf
E55135	hrf	liu:hrf
E55144	hdf	brass08:hdf
E55146	hrf	liu:hrf
E55183	hdf	yeung09:hdf
E55190	hdf	konig08:hdf
E5520	hdf	brass08:hdf
E55220	hdf	yeung09:hdf
E55245	hdf	yeung09:hdf
E55247	hdf	zhou08:hdf
E55252	hdf	brass08:hdf
E55256	hrf	liu:hrf
E55258	both	zhou08:both
E55275	hdf	brass08:hdf
