#entrez	phenotype	sources
E84914	hdf	konig08:hdf
E84928	hrf	liu:hrf
E84950	hdf	konig08:hdf
E84991	hdf	konig08:hdf
E84992	hdf	brass08:hdf
E8507	hdf	konig08:hdf
E8517	hdf	brass08:hdf
E8527	hrf	liu:hrf
E8528	hdf	zhou08:hdf
E8534	hdf	zhou08:hdf|konig08:hdf
E858	hdf	brass08:hdf
E8581	hdf	brass08:hdf
E8608	hdf	yeung09:hdf
E862	hrf	liu:hrf
E8638	hdf	yeung09:hdf
E8667	hdf	brass08:hdf
E8703	hrf	liu:hrf
E8711	hdf	zhou08:hdf
E8736	hdf	yeung09:hdf
E8763	hdf	konig08:hdf
E8766	hdf	yeung09:hdf
E8777	hdf	konig08:hdf
E8786	hdf	yeung09:hdf
E8801	hdf	zhou08:hdf
E8813	hdf	brass08:hdf
E8828	hdf	yeung09:hdf
E8829	hdf	yeung09:hdf
E8839	hdf	zhou08:hdf
E8843	hdf	yeung09:hdf
E8863	hdf	konig08:hdf
E8869	hdf	brass08:hdf
E8881	hdf	yeung09:hdf
E8890	hdf	yeung09:hdf
E8891	hdf	yeung09:hdf
E8893	hdf	konig08:hdf
E8906	hdf	konig08:hdf
E8940	hdf	konig08:hdf
E8941	hdf	yeung09:hdf
E89766	hdf	konig08:hdf
E89790	hrf	liu:hrf
E89849	hdf	brass08:hdf
E8985	hdf	brass08:hdf
E89870	hdf	yeung09:hdf
E901	hdf	yeung09:hdf
E9020	hdf	zhou08:hdf
E9026	hdf	brass08:hdf
E90326	hdf	brass08:hdf
E904	hdf	brass08:hdf
E9098	hdf	brass08:hdf
E91074	hdf	brass08:hdf
E91351	hdf	zhou08:hdf
E9140	hdf	brass08:hdf
E91404	hdf	brass08:hdf
E9142	hdf	yeung09:hdf
E9146	hdf	brass08:hdf
E9150	hdf	brass08:hdf|konig08:hdf
E9170	hdf	zhou08:hdf
E91754	hdf	zhou08:hdf
E91801	hdf	brass08:hdf
E91828	hrf	liu:hrf
E91942	hdf	konig08:hdf
E920	hdf	brass08:hdf|zhou08:hdf
E92070	hdf	yeung09:hdf
E92249	hdf	yeung09:hdf
E92293	hdf	brass08:hdf
E9245	hrf	liu:hrf
E9247	hdf	yeung09:hdf
E9253	hdf	konig08:hdf
E9255	hdf	yeung09:hdf
E9275	hrf	liu:hrf
E9282	hdf	brass08:hdf|konig08:hdf
E9284	hrf	liu:hrf
E9351	hrf	liu:hrf
E93517	hrf	liu:hrf
E93594	hdf	yeung09:hdf
E9364	hdf	brass08:hdf|zhou08:hdf
E9375	hdf	brass08:hdf
E9378	hdf	yeung09:hdf
E940	hrf	liu:hrf
E9416	hdf	konig08:hdf
E9423	hdf	konig08:hdf
E94233	hdf	zhou08:hdf
E9440	hdf	zhou08:hdf
E9441	hdf	zhou08:hdf
E9442	hdf	zhou08:hdf
E9443	hdf	brass08:hdf|zhou08:hdf|konig08:hdf
E9477	hdf	zhou08:hdf
E9487	hrf	liu:hrf
E9497	hdf	zhou08:hdf
E9524	hdf	zhou08:hdf
E9534	hdf	konig08:hdf
E9562	hdf	yeung09:hdf
E9564	hrf	liu:hrf
E9570	hdf	brass08:hdf
E9575	hdf	konig08:hdf
E9612	hdf	brass08:hdf
E9631	hdf	brass08:hdf
E9646	hrf	liu:hrf
E9681	hdf	brass08:hdf
E9716	hdf	konig08:hdf
E9725	hdf	konig08:hdf
E9727	hdf	yeung09:hdf
E9730	hdf	brass08:hdf
E9743	hdf	brass08:hdf
E9745	hdf	brass08:hdf
E976	hdf	zhou08:hdf
E9774	hdf	zhou08:hdf
E9789	hrf	liu:hrf
E9791	hdf	konig08:hdf
E9802	hdf	konig08:hdf
E9814	hrf	liu:hrf
E9821	hdf	zhou08:hdf
E9827	hdf	brass08:hdf
E9849	hdf	yeung09:hdf
E9853	hdf	brass08:hdf
E9861	hdf	konig08:hdf
E9866	hdf	konig08:hdf
E9868	hdf	brass08:hdf
E9869	hrf	liu:hrf
E9871	hdf	yeung09:hdf
E9904	hdf	zhou08:hdf
E9921	hdf	konig08:hdf
E9946	hdf	yeung09:hdf
E9972	hdf	brass08:hdf|konig08:hdf
E9987	hdf	konig08:hdf
EDW462575	both	zhou08:both
